Order ID,Order Date,Year,Month,Quarter,Customer Type,Region,Country,City,Category,Sub-Category,Product Name,Unit Price,Quantity,Gross Sales,Discount %,Discount Amount,Sales Revenue,Unit Cost,Total Cost,Profit,Profit Margin %,Payment Method,Order Status
ORD-2025-02580,2024-01-18,2024,2024-01,2024-Q1,Corporate,Europe,France,Paris,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,122.97,25,3074.25,10.0,307.43,2766.82,50.69,1267.25,1499.57,54.2,Direct Invoice,Shipped
ORD-2026-03428,2024-01-18,2024,2024-01,2024-Q1,Small Business,Europe,Germany,Munich,Furniture,Desks & Tables,Compact Home Office Writing Desk,218.2,3,654.6,10.0,65.46,589.14,104.63,313.89,275.25,46.72,Credit Card,Shipped
ORD-2025-01226,2024-01-19,2024,2024-01,2024-Q1,Consumer,Latin America,Mexico,Guadalajara,Electronics,Laptops & Computers,SlimBook Air 13-inch,1044.94,4,4179.76,0.0,0.0,4179.76,614.35,2457.4,1722.36,41.21,Credit Card,Delivered
ORD-2024-04534,2024-01-19,2024,2024-01,2024-Q1,Small Business,Asia Pacific,Japan,Tokyo,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,459.25,7,3214.75,10.0,321.48,2893.27,231.9,1623.3,1269.97,43.89,Bank Transfer,Delivered
ORD-2025-00192,2024-01-19,2024,2024-01,2024-Q1,Consumer,Asia Pacific,Japan,Osaka,Apparel & Merchandise,Corporate Apparel,Branded Tech Backpack,74.1,1,74.1,5.0,3.71,70.39,27.81,27.81,42.58,60.49,Direct Invoice,Delivered
ORD-2025-00450,2024-01-20,2024,2024-01,2024-Q1,Small Business,Latin America,Mexico,Mexico City,Office Supplies,Storage & Filing,Portable External SSD 2TB,155.45,1,155.45,12.0,18.65,136.8,85.14,85.14,51.66,37.76,Bank Transfer,Cancelled
ORD-2025-03118,2024-01-21,2024,2024-01,2024-Q1,Small Business,Europe,Germany,Berlin,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,85.1,7,595.7,5.0,29.79,565.91,28.45,199.15,366.76,64.81,Direct Invoice,Processing
ORD-2024-02567,2024-01-21,2024,2024-01,2024-Q1,Consumer,Asia Pacific,India,Mumbai,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,119.12,2,238.24,0.0,0.0,238.24,49.37,98.74,139.5,58.55,Bank Transfer,Shipped
ORD-2025-02092,2024-01-22,2024,2024-01,2024-Q1,Consumer,Asia Pacific,Australia,Melbourne,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,429.11,4,1716.44,0.0,0.0,1716.44,219.12,876.48,839.96,48.94,Credit Card,Processing
ORD-2026-04359,2024-01-23,2024,2024-01,2024-Q1,Corporate,North America,Canada,Montreal,Apparel & Merchandise,Corporate Apparel,Branded Tech Backpack,75.5,17,1283.5,10.0,128.35,1155.15,26.92,457.64,697.51,60.38,Bank Transfer,Cancelled
ORD-2025-01415,2024-01-24,2024,2024-01,2024-Q1,Small Business,North America,Canada,Toronto,Software & Cloud Services,SaaS Licenses,Enterprise ERP Annual License,3528.82,10,35288.2,0.0,0.0,35288.2,732.82,7328.2,27960.0,79.23,PayPal,Cancelled
ORD-2026-03257,2024-01-24,2024,2024-01,2024-Q1,Consumer,Middle East & Africa,UAE,Dubai,Furniture,Chairs & Seating,Task Mesh Office Chair,207.65,4,830.6,5.0,41.53,789.07,102.57,410.28,378.79,48.0,Bank Transfer,Delivered
ORD-2026-04244,2024-01-25,2024,2024-01,2024-Q1,Small Business,North America,United States,Los Angeles,Office Supplies,Paper & Printing,High-Yield Laser Toner Cartridge,114.23,8,913.84,5.0,45.69,868.15,33.79,270.32,597.83,68.86,Credit Card,Delivered
ORD-2026-02642,2024-01-28,2024,2024-01,2024-Q1,Corporate,Latin America,Brazil,São Paulo,Electronics,Laptops & Computers,Gaming Titan Desktop PC,2506.55,3,7519.65,5.0,375.98,7143.67,1548.89,4646.67,2497.0,34.95,Credit Card,Delivered
ORD-2026-00114,2024-01-28,2024,2024-01,2024-Q1,Corporate,North America,Canada,Toronto,Office Supplies,Storage & Filing,Portable External SSD 2TB,151.45,6,908.7,0.0,0.0,908.7,84.39,506.34,402.36,44.28,Credit Card,Delivered
ORD-2024-00728,2024-01-29,2024,2024-01,2024-Q1,Small Business,North America,Canada,Vancouver,Office Supplies,Storage & Filing,Portable External SSD 2TB,152.67,2,305.34,12.0,36.64,268.7,86.21,172.42,96.28,35.83,Direct Invoice,Delivered
ORD-2026-00511,2024-01-29,2024,2024-01,2024-Q1,Small Business,Middle East & Africa,South Africa,Cape Town,Electronics,Audio & Wearables,Acoustic Studio Earbuds,141.72,7,992.04,10.0,99.2,892.84,54.41,380.87,511.97,57.34,Credit Card,Delivered
ORD-2024-00820,2024-01-29,2024,2024-01,2024-Q1,Small Business,North America,Canada,Toronto,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,85.66,8,685.28,5.0,34.26,651.02,27.7,221.6,429.42,65.96,Bank Transfer,Cancelled
ORD-2026-00526,2024-01-30,2024,2024-01,2024-Q1,Corporate,Asia Pacific,India,Bangalore,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,82.67,13,1074.71,10.0,107.47,967.24,27.5,357.5,609.74,63.04,Direct Invoice,Cancelled
ORD-2024-02283,2024-01-30,2024,2024-01,2024-Q1,Consumer,Middle East & Africa,South Africa,Cape Town,Furniture,Chairs & Seating,Luxury Leather Executive Recliner,686.49,4,2745.96,0.0,0.0,2745.96,386.28,1545.12,1200.84,43.73,Direct Invoice,Delivered
ORD-2026-04326,2024-01-31,2024,2024-01,2024-Q1,Consumer,North America,Canada,Vancouver,Software & Cloud Services,SaaS Licenses,CyberSecurity Shield Pro Annual,859.77,2,1719.54,0.0,0.0,1719.54,188.25,376.5,1343.04,78.1,Credit Card,Delivered
ORD-2026-01913,2024-01-31,2024,2024-01,2024-Q1,Corporate,Latin America,Mexico,Mexico City,Office Supplies,Storage & Filing,Heavy-Duty Filing Cabinet 3-Drawer,201.18,6,1207.08,10.0,120.71,1086.37,92.87,557.22,529.15,48.71,Direct Invoice,Shipped
ORD-2026-02284,2024-01-31,2024,2024-01,2024-Q1,Corporate,Asia Pacific,Singapore,Singapore,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,462.24,25,11556.0,5.0,577.8,10978.2,226.1,5652.5,5325.7,48.51,Direct Invoice,Delivered
ORD-2025-03278,2024-02-01,2024,2024-02,2024-Q1,Small Business,Europe,France,Paris,Furniture,Desks & Tables,Modular Conference Table 8-Person,1295.33,4,5181.32,0.0,0.0,5181.32,691.77,2767.08,2414.24,46.6,Bank Transfer,Delivered
ORD-2024-04815,2024-02-01,2024,2024-02,2024-Q1,Small Business,Latin America,Mexico,Guadalajara,Software & Cloud Services,SaaS Licenses,Cloud Backup & Storage Enterprise,303.76,8,2430.08,5.0,121.5,2308.58,52.16,417.28,1891.3,81.92,Credit Card,Delivered
ORD-2026-03247,2024-02-01,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,South Africa,Johannesburg,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,85.49,18,1538.82,5.0,76.94,1461.88,29.28,527.04,934.84,63.95,Credit Card,Processing
ORD-2024-04929,2024-02-01,2024,2024-02,2024-Q1,Corporate,North America,United States,Los Angeles,Office Supplies,Storage & Filing,Heavy-Duty Filing Cabinet 3-Drawer,197.13,16,3154.08,0.0,0.0,3154.08,92.36,1477.76,1676.32,53.15,Direct Invoice,Processing
ORD-2024-02050,2024-02-03,2024,2024-02,2024-Q1,Small Business,Latin America,Brazil,Rio de Janeiro,Electronics,Monitors & Displays,Curved Gaming Monitor 27-inch,384.68,9,3462.12,10.0,346.21,3115.91,207.07,1863.63,1252.28,40.19,Credit Card,Delivered
ORD-2024-01733,2024-02-03,2024,2024-02,2024-Q1,Consumer,Asia Pacific,Singapore,Singapore,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,119.92,3,359.76,0.0,0.0,359.76,46.16,138.48,221.28,61.51,PayPal,Shipped
ORD-2024-04457,2024-02-04,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,South Africa,Cape Town,Electronics,Monitors & Displays,Curved Gaming Monitor 27-inch,418.28,13,5437.64,5.0,271.88,5165.76,225.75,2934.75,2231.01,43.19,Bank Transfer,Cancelled
ORD-2024-00919,2024-02-06,2024,2024-02,2024-Q1,Consumer,Asia Pacific,India,Bangalore,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,83.6,3,250.8,5.0,12.54,238.26,28.57,85.71,152.55,64.03,Bank Transfer,Cancelled
ORD-2025-03136,2024-02-06,2024,2024-02,2024-Q1,Corporate,North America,Canada,Toronto,Office Supplies,Desk Accessories,Dual Monitor Arm Stand,75.69,13,983.97,5.0,49.2,934.77,30.18,392.34,542.43,58.03,Bank Transfer,Shipped
ORD-2026-00419,2024-02-07,2024,2024-02,2024-Q1,Consumer,North America,Canada,Toronto,Furniture,Chairs & Seating,Task Mesh Office Chair,199.65,2,399.3,0.0,0.0,399.3,99.7,199.4,199.9,50.06,Bank Transfer,Delivered
ORD-2026-03310,2024-02-07,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,UAE,Dubai,Apparel & Merchandise,Corporate Apparel,Branded Tech Backpack,73.06,21,1534.26,5.0,76.71,1457.55,26.97,566.37,891.18,61.14,Direct Invoice,Processing
ORD-2024-04674,2024-02-07,2024,2024-02,2024-Q1,Consumer,Asia Pacific,Australia,Melbourne,Office Supplies,Desk Accessories,Dual Monitor Arm Stand,80.79,1,80.79,0.0,0.0,80.79,30.67,30.67,50.12,62.04,Direct Invoice,Shipped
ORD-2026-02773,2024-02-07,2024,2024-02,2024-Q1,Consumer,Latin America,Mexico,Mexico City,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,430.07,2,860.14,0.0,0.0,860.14,224.33,448.66,411.48,47.84,Direct Invoice,Shipped
ORD-2024-03150,2024-02-07,2024,2024-02,2024-Q1,Consumer,Asia Pacific,India,Mumbai,Office Supplies,Storage & Filing,Heavy-Duty Filing Cabinet 3-Drawer,192.28,2,384.56,0.0,0.0,384.56,94.77,189.54,195.02,50.71,Credit Card,Shipped
ORD-2025-00586,2024-02-08,2024,2024-02,2024-Q1,Consumer,North America,Canada,Montreal,Electronics,Laptops & Computers,Gaming Titan Desktop PC,2395.99,3,7187.97,0.0,0.0,7187.97,1514.04,4542.12,2645.85,36.81,Direct Invoice,Processing
ORD-2026-00305,2024-02-09,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,UAE,Dubai,Electronics,Monitors & Displays,4K UltraWide Monitor 34-inch,671.43,20,13428.6,10.0,1342.86,12085.74,360.38,7207.6,4878.14,40.36,PayPal,Cancelled
ORD-2025-00109,2024-02-09,2024,2024-02,2024-Q1,Small Business,North America,United States,Los Angeles,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,116.12,6,696.72,5.0,34.84,661.88,45.26,271.56,390.32,58.97,Direct Invoice,Processing
ORD-2026-05000,2024-02-09,2024,2024-02,2024-Q1,Corporate,Asia Pacific,India,Mumbai,Office Supplies,Paper & Printing,Premium Copy Paper A4 Box,38.09,8,304.72,0.0,0.0,304.72,13.39,107.12,197.6,64.85,Bank Transfer,Shipped
ORD-2024-00994,2024-02-10,2024,2024-02,2024-Q1,Consumer,Latin America,Brazil,São Paulo,Office Supplies,Paper & Printing,Premium Copy Paper A4 Box,38.58,2,77.16,0.0,0.0,77.16,13.85,27.7,49.46,64.1,PayPal,Shipped
ORD-2024-01024,2024-02-10,2024,2024-02,2024-Q1,Corporate,North America,United States,New York,Software & Cloud Services,SaaS Licenses,Business Analytics Suite (Per User),493.36,22,10853.92,10.0,1085.39,9768.53,68.51,1507.22,8261.31,84.57,Credit Card,Processing
ORD-2025-03355,2024-02-12,2024,2024-02,2024-Q1,Consumer,Asia Pacific,Australia,Sydney,Office Supplies,Paper & Printing,High-Yield Laser Toner Cartridge,122.6,3,367.8,0.0,0.0,367.8,38.41,115.23,252.57,68.67,Direct Invoice,Processing
ORD-2025-04821,2024-02-12,2024,2024-02,2024-Q1,Corporate,Europe,Germany,Berlin,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,85.69,9,771.21,5.0,38.56,732.65,30.07,270.63,462.02,63.06,PayPal,Delivered
ORD-2025-01148,2024-02-12,2024,2024-02,2024-Q1,Small Business,Asia Pacific,India,Mumbai,Office Supplies,Paper & Printing,High-Yield Laser Toner Cartridge,114.05,10,1140.5,12.0,136.86,1003.64,32.04,320.4,683.24,68.08,Credit Card,Delivered
ORD-2024-03733,2024-02-13,2024,2024-02,2024-Q1,Corporate,Latin America,Brazil,São Paulo,Electronics,Audio & Wearables,Noise-Canceling Wireless Headphones,242.21,22,5328.62,15.0,799.29,4529.33,111.62,2455.64,2073.69,45.78,Bank Transfer,Cancelled
ORD-2025-03169,2024-02-13,2024,2024-02,2024-Q1,Small Business,Latin America,Brazil,Rio de Janeiro,Electronics,Smartphones,Apex Lite Smartphone 128GB,494.11,9,4446.99,0.0,0.0,4446.99,283.06,2547.54,1899.45,42.71,Credit Card,Delivered
ORD-2025-01885,2024-02-14,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,UAE,Dubai,Software & Cloud Services,SaaS Licenses,Enterprise ERP Annual License,3431.73,20,68634.6,0.0,0.0,68634.6,699.32,13986.4,54648.2,79.62,Direct Invoice,Cancelled
ORD-2024-01921,2024-02-14,2024,2024-02,2024-Q1,Consumer,Asia Pacific,Japan,Osaka,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,439.06,3,1317.18,0.0,0.0,1317.18,213.96,641.88,675.3,51.27,Bank Transfer,Delivered
ORD-2026-00451,2024-02-16,2024,2024-02,2024-Q1,Corporate,Asia Pacific,Australia,Sydney,Apparel & Merchandise,Corporate Apparel,Branded Tech Backpack,74.43,24,1786.32,0.0,0.0,1786.32,28.25,678.0,1108.32,62.04,Credit Card,Delivered
ORD-2026-03534,2024-02-17,2024,2024-02,2024-Q1,Small Business,Asia Pacific,Japan,Tokyo,Office Supplies,Storage & Filing,Portable External SSD 2TB,162.95,3,488.85,5.0,24.44,464.41,86.7,260.1,204.31,43.99,Direct Invoice,Shipped
ORD-2025-00661,2024-02-17,2024,2024-02,2024-Q1,Consumer,Europe,United Kingdom,London,Furniture,Desks & Tables,Electric Dual-Motor Standing Desk,591.02,3,1773.06,0.0,0.0,1773.06,325.42,976.26,796.8,44.94,Direct Invoice,Processing
ORD-2024-02631,2024-02-18,2024,2024-02,2024-Q1,Small Business,Latin America,Mexico,Guadalajara,Electronics,Smartphones,Apex Lite Smartphone 128GB,494.25,7,3459.75,10.0,345.98,3113.77,305.56,2138.92,974.85,31.31,Direct Invoice,Cancelled
ORD-2026-02317,2024-02-18,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,UAE,Dubai,Office Supplies,Paper & Printing,High-Yield Laser Toner Cartridge,118.16,3,354.48,10.0,35.45,319.03,35.91,107.73,211.3,66.23,Credit Card,Delivered
ORD-2025-02987,2024-02-19,2024,2024-02,2024-Q1,Consumer,Latin America,Brazil,Rio de Janeiro,Office Supplies,Desk Accessories,Ergonomic Keyboard & Mouse Combo,88.12,4,352.48,8.0,28.2,324.28,37.63,150.52,173.76,53.58,Bank Transfer,Delivered
ORD-2026-03646,2024-02-20,2024,2024-02,2024-Q1,Consumer,Middle East & Africa,UAE,Abu Dhabi,Software & Cloud Services,SaaS Licenses,Cloud Backup & Storage Enterprise,287.72,1,287.72,0.0,0.0,287.72,49.91,49.91,237.81,82.65,Bank Transfer,Delivered
ORD-2026-01788,2024-02-20,2024,2024-02,2024-Q1,Consumer,Europe,United Kingdom,Manchester,Furniture,Chairs & Seating,Task Mesh Office Chair,198.3,4,793.2,0.0,0.0,793.2,97.43,389.72,403.48,50.87,PayPal,Delivered
ORD-2025-02021,2024-02-21,2024,2024-02,2024-Q1,Consumer,Asia Pacific,Japan,Osaka,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,123.02,4,492.08,8.0,39.37,452.71,47.82,191.28,261.43,57.75,Direct Invoice,Shipped
ORD-2025-02781,2024-02-21,2024,2024-02,2024-Q1,Corporate,North America,Canada,Vancouver,Software & Cloud Services,SaaS Licenses,Cloud Backup & Storage Enterprise,300.33,7,2102.31,15.0,315.35,1786.96,51.92,363.44,1423.52,79.66,Credit Card,Delivered
ORD-2024-01449,2024-02-22,2024,2024-02,2024-Q1,Small Business,Asia Pacific,Australia,Melbourne,Software & Cloud Services,SaaS Licenses,Cloud Backup & Storage Enterprise,293.31,10,2933.1,12.0,351.97,2581.13,49.81,498.1,2083.03,80.7,Bank Transfer,Shipped
ORD-2025-04423,2024-02-22,2024,2024-02,2024-Q1,Consumer,Latin America,Mexico,Guadalajara,Software & Cloud Services,SaaS Licenses,Business Analytics Suite (Per User),482.87,4,1931.48,0.0,0.0,1931.48,68.11,272.44,1659.04,85.89,Direct Invoice,Delivered
ORD-2026-04519,2024-02-23,2024,2024-02,2024-Q1,Consumer,North America,United States,Seattle,Office Supplies,Storage & Filing,Portable External SSD 2TB,158.24,3,474.72,0.0,0.0,474.72,83.41,250.23,224.49,47.29,Direct Invoice,Delivered
ORD-2024-04986,2024-02-24,2024,2024-02,2024-Q1,Small Business,Latin America,Brazil,Rio de Janeiro,Furniture,Desks & Tables,Modular Conference Table 8-Person,1285.62,3,3856.86,0.0,0.0,3856.86,745.54,2236.62,1620.24,42.01,Direct Invoice,Processing
ORD-2025-01032,2024-02-24,2024,2024-02,2024-Q1,Corporate,North America,United States,New York,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,449.44,25,11236.0,10.0,1123.6,10112.4,225.93,5648.25,4464.15,44.15,Bank Transfer,Delivered
ORD-2025-04757,2024-02-24,2024,2024-02,2024-Q1,Small Business,Asia Pacific,Japan,Osaka,Software & Cloud Services,SaaS Licenses,CyberSecurity Shield Pro Annual,857.3,9,7715.7,0.0,0.0,7715.7,190.8,1717.2,5998.5,77.74,Credit Card,Cancelled
ORD-2026-03582,2024-02-25,2024,2024-02,2024-Q1,Small Business,Latin America,Mexico,Mexico City,Office Supplies,Paper & Printing,Premium Copy Paper A4 Box,38.03,8,304.24,0.0,0.0,304.24,12.49,99.92,204.32,67.16,Credit Card,Cancelled
ORD-2024-02617,2024-02-25,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,South Africa,Johannesburg,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,464.57,9,4181.13,20.0,836.23,3344.9,224.51,2020.59,1324.31,39.59,Credit Card,Shipped
ORD-2024-04153,2024-02-26,2024,2024-02,2024-Q1,Corporate,Europe,Germany,Berlin,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,117.7,7,823.9,15.0,123.58,700.32,46.08,322.56,377.76,53.94,Bank Transfer,Delivered
ORD-2026-00747,2024-02-26,2024,2024-02,2024-Q1,Small Business,Europe,France,Paris,Software & Cloud Services,SaaS Licenses,Enterprise ERP Annual License,3347.59,8,26780.72,0.0,0.0,26780.72,695.35,5562.8,21217.92,79.23,Bank Transfer,Shipped
ORD-2025-01815,2024-02-27,2024,2024-02,2024-Q1,Corporate,Middle East & Africa,South Africa,Johannesburg,Electronics,Smartphones,Vanguard Ultra Phone,1152.63,6,6915.78,15.0,1037.37,5878.41,659.49,3956.94,1921.47,32.69,Direct Invoice,Processing
ORD-2026-00081,2024-02-27,2024,2024-02,2024-Q1,Consumer,Latin America,Mexico,Mexico City,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,114.44,3,343.32,0.0,0.0,343.32,46.36,139.08,204.24,59.49,PayPal,Delivered
ORD-2024-04579,2024-02-27,2024,2024-02,2024-Q1,Corporate,Latin America,Mexico,Mexico City,Software & Cloud Services,SaaS Licenses,CyberSecurity Shield Pro Annual,943.78,5,4718.9,10.0,471.89,4247.01,207.8,1039.0,3208.01,75.54,Direct Invoice,Shipped
ORD-2024-03188,2024-02-27,2024,2024-02,2024-Q1,Consumer,North America,United States,Chicago,Office Supplies,Desk Accessories,Dual Monitor Arm Stand,78.15,3,234.45,5.0,11.72,222.73,28.25,84.75,137.98,61.95,Credit Card,Cancelled
ORD-2026-04783,2024-02-28,2024,2024-02,2024-Q1,Consumer,North America,Canada,Montreal,Office Supplies,Storage & Filing,Portable External SSD 2TB,161.65,4,646.6,8.0,51.73,594.87,93.34,373.36,221.51,37.24,PayPal,Delivered
ORD-2026-03595,2024-02-29,2024,2024-02,2024-Q1,Corporate,Asia Pacific,Singapore,Singapore,Office Supplies,Desk Accessories,LED Desk Lamp with Wireless Charging,56.45,20,1129.0,5.0,56.45,1072.55,20.89,417.8,654.75,61.05,PayPal,Delivered
ORD-2024-01908,2024-03-01,2024,2024-03,2024-Q1,Consumer,Europe,Germany,Frankfurt,Office Supplies,Paper & Printing,Premium Copy Paper A4 Box,41.72,1,41.72,5.0,2.09,39.63,13.79,13.79,25.84,65.2,Direct Invoice,Delivered
ORD-2024-04916,2024-03-01,2024,2024-03,2024-Q1,Consumer,Middle East & Africa,South Africa,Johannesburg,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,115.33,2,230.66,8.0,18.45,212.21,46.17,92.34,119.87,56.49,PayPal,Delivered
ORD-2025-01841,2024-03-01,2024,2024-03,2024-Q1,Corporate,Asia Pacific,Singapore,Singapore,Software & Cloud Services,SaaS Licenses,CyberSecurity Shield Pro Annual,895.31,25,22382.75,20.0,4476.55,17906.2,188.79,4719.75,13186.45,73.64,Credit Card,Shipped
ORD-2025-01132,2024-03-01,2024,2024-03,2024-Q1,Corporate,Middle East & Africa,South Africa,Johannesburg,Electronics,Monitors & Displays,Curved Gaming Monitor 27-inch,386.55,3,1159.65,5.0,57.98,1101.67,202.13,606.39,495.28,44.96,PayPal,Processing
ORD-2026-00213,2024-03-02,2024,2024-03,2024-Q1,Consumer,Latin America,Brazil,São Paulo,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,85.86,4,343.44,0.0,0.0,343.44,31.24,124.96,218.48,63.62,Credit Card,Shipped
ORD-2024-04406,2024-03-02,2024,2024-03,2024-Q1,Corporate,Latin America,Brazil,São Paulo,Electronics,Monitors & Displays,Curved Gaming Monitor 27-inch,389.42,13,5062.46,5.0,253.12,4809.34,191.21,2485.73,2323.61,48.31,PayPal,Delivered
